size,total_sqft,bath,bhk,price_per_sqft,price_total
3 BHK,1693.0,3.0,3,3389.84051978736,5739000.0
3 BHK,1925.0,3.0,3,6493.506493506494,12500000.0
2 BHK,700.0,2.0,2,5142.857142857143,3600000.0
2 BHK,1070.0,2.0,2,4252.336448598131,4550000.0
3 BHK,1724.0,3.0,3,7250.580046403712,12500000.0
3 BHK,1290.0,2.0,3,4350.387596899225,5612000.0
2 BHK,1143.0,2.0,2,3937.0078740157483,4500000.0
2 BHK,1296.0,2.0,2,6250.0,8100000.0
3 BHK,1254.0,3.0,3,3030.3030303030305,3800000.0
1 BHK,600.0,1.0,1,6333.333333333333,3800000.0
1 Bedroom,660.0,1.0,1,7272.727272727273,4800000.0
2 BHK,1330.74,2.0,2,6897.665960292769,9179000.0
8 Bedroom,600.0,9.0,8,33333.333333333336,20000000.0
2 BHK,970.0,2.0,2,3402.061855670103,3300000.0
2 BHK,1459.0,2.0,2,6498.971898560658,9482000.0
2 Bedroom,800.0,1.0,2,16250.0,13000000.0
2 BHK,869.0,2.0,2,4142.692750287687,3600000.0
2 BHK,1270.0,2.0,2,3937.0078740157483,5000000.0
3 BHK,1670.0,3.0,3,5928.143712574851,9900000.0
3 BHK,2010.0,3.0,3,4527.363184079602,9100000.0
2 BHK,1185.0,2.0,2,6329.113924050633,7500000.0
3 BHK,1600.0,2.0,3,4687.5,7500000.0
2 BHK,1200.0,2.0,2,3666.6666666666665,4400000.0
2 BHK,1500.0,2.0,2,12333.333333333334,18500000.0
6 Bedroom,1407.0,4.0,6,10660.980810234541,15000000.0
2 BHK,840.0,2.0,2,5357.142857142857,4500000.0
3 Bedroom,4395.0,3.0,3,5460.750853242321,24000000.0
2 BHK,845.0,2.0,2,6508.87573964497,5500000.0
4 Bedroom,5700.0,5.0,4,11403.508771929824,65000000.0
2 BHK,1160.0,2.0,2,3793.103448275862,4400000.0
8 Bedroom,3000.0,8.0,8,4666.666666666667,14000000.0
2 BHK,1100.0,2.0,2,5636.363636363636,6200000.0
2 BHK,1140.0,2.0,2,3771.9298245614036,4300000.0
2 BHK,1220.0,2.0,2,4672.131147540984,5700000.0
8 Bedroom,1350.0,7.0,8,6296.2962962962965,8500000.0
2 BHK,1005.0,2.0,2,3649.7512437810947,3668000.0
3 Bedroom,500.0,3.0,3,20000.0,10000000.0
2 BHK,1358.0,2.0,2,5933.726067746687,8058000.0
3 BHK,1569.0,3.0,3,6437.221159974506,10100000.0
2 BHK,1240.0,2.0,2,5645.1612903225805,7000000.0
3 BHK,2089.0,3.0,3,6701.771182383915,14000000.0
2 BHK,1206.0,2.0,2,3999.1708126036483,4823000.0
2 BHK,1150.0,2.0,2,3478.2608695652175,4000000.0
3 BHK,2511.0,3.0,3,8164.078056551175,20500000.0
2 BHK,460.0,1.0,2,4782.608695652174,2200000.0
6 Bedroom,4400.0,6.0,6,5681.818181818182,25000000.0
3 BHK,1660.0,2.0,3,6325.301204819277,10500000.0
2 BHK,1326.0,2.0,2,5882.35294117647,7800000.0
3 BHK,1325.0,2.0,3,4588.679245283019,6080000.0
3 BHK,1499.0,5.0,3,6804.536357571715,10200000.0
6 Bedroom,3000.0,7.0,6,7000.0,21000000.0
3 BHK,1665.0,3.0,3,5285.285285285286,8800000.0
2 BHK,708.0,2.0,2,5225.988700564972,3700000.0
2 BHK,1060.0,2.0,2,5477.358490566037,5806000.0
6 Bedroom,710.0,6.0,6,22535.211267605635,16000000.0
2 BHK,1000.0,2.0,2,7000.0,7000000.0
2 BHK,1000.0,2.0,2,2888.0,2888000.0
3 BHK,1450.0,2.0,3,4827.586206896552,7000000.0
4 Bedroom,1200.0,4.0,4,12916.666666666666,15500000.0
2 BHK,1296.0,2.0,2,6172.83950617284,8000000.0
3 BHK,1540.0,3.0,3,5844.1558441558445,9000000.0
4 Bedroom,2894.0,4.0,4,8465.791292328957,24500000.0
3 BHK,1330.0,2.0,3,3609.0225563909776,4800000.0
2 BHK,1200.0,2.0,2,5416.666666666667,6500000.0
3 Bedroom,1200.0,3.0,3,7500.0,9000000.0
3 BHK,2502.0,3.0,3,5515.587529976019,13800000.0
2 BHK,650.0,1.0,2,2615.3846153846152,1700000.0
3 Bedroom,2400.0,2.0,3,6250.0,15000000.0
2 BHK,1007.0,2.0,2,4270.109235352532,4300000.0
2 BHK,1200.0,2.0,2,4166.666666666667,5000000.0
2 BHK,966.0,2.0,2,5165.631469979296,4990000.0
3 BHK,1630.0,2.0,3,6012.269938650306,9800000.0
3 BHK,1640.0,3.0,3,13963.414634146342,22900000.0
2 BHK,782.0,2.0,2,7120.204603580562,5568000.0
2 BHK,1260.0,2.0,2,5300.0,6678000.0
3 BHK,1800.0,3.0,3,6666.666666666667,12000000.0
3 BHK,1413.0,2.0,3,5307.855626326964,7500000.0
2 BHK,1116.0,2.0,2,4651.433691756272,5191000.0
3 BHK,1530.0,2.0,3,3000.0,4590000.0
4 Bedroom,3700.0,4.0,4,6081.081081081081,22500000.0
3 Bedroom,2497.0,3.0,3,5606.728073688426,14000000.0
3 BHK,1540.0,2.0,3,4155.8441558441555,6400000.0
3 BHK,1436.0,3.0,3,5205.431754874652,7475000.0
2 BHK,1100.0,2.0,2,6818.181818181818,7500000.0
2 Bedroom,276.0,3.0,2,8333.333333333334,2300000.0
3 BHK,1427.0,3.0,3,8409.250175192712,12000000.0
3 BHK,2061.0,3.0,3,9704.02717127608,20000000.0
4 BHK,5611.5,4.0,4,8500.400962309543,47700000.0
4 BHK,2650.0,4.0,4,5660.377358490566,15000000.0
3 BHK,1282.0,2.0,3,5344.773790951638,6852000.0
2 BHK,1050.0,2.0,2,3238.095238095238,3400000.0
3 BHK,1600.0,3.0,3,4062.5,6500000.0
2 BHK,945.0,2.0,2,5714.285714285715,5400000.0
2 BHK,1500.0,2.0,2,5200.0,7800000.0
7 Bedroom,950.0,7.0,7,12105.263157894737,11500000.0
3 BHK,1870.0,3.0,3,5882.35294117647,11000000.0
3 Bedroom,1600.0,3.0,3,4687.5,7500000.0
2 BHK,880.0,1.0,2,1875.0,1650000.0
4 Bedroom,1200.0,4.0,4,17500.0,21000000.0
3 BHK,1535.0,3.0,3,5407.166123778502,8300000.0
2 BHK,950.0,2.0,2,6000.0,5700000.0
2 BHK,1360.0,2.0,2,4779.411764705882,6500000.0
2 BHK,1073.5,2.0,2,5030.740568234746,5400500.0
3 BHK,1280.0,3.0,3,3937.5,5040000.0
3 BHK,1260.0,2.0,3,6750.0,8505000.0
8 Bedroom,5000.0,8.0,8,5000.0,25000000.0
5 BHK,3050.0,5.0,5,6983.606557377049,21300000.0
3 BHK,1563.05,3.0,3,6717.635392341896,10500000.0
2 BHK,1000.0,2.0,2,6000.0,6000000.0
2 BHK,1167.0,2.0,2,3749.7857754927163,4376000.0
7 BHK,4000.0,7.0,7,5625.0,22500000.0
3 BHK,1828.0,3.0,3,6017.505470459519,11000000.0
2 BHK,890.0,2.0,2,3932.5842696629215,3500000.0
3 BHK,1612.0,3.0,3,2899.5037220843674,4674000.0
6 Bedroom,1034.0,5.0,6,17891.682785299807,18500000.0
3 BHK,1710.0,4.0,3,5339.766081871345,9131000.0
2 BHK,957.0,2.0,2,6060.606060606061,5800000.0
3 BHK,1250.0,2.0,3,3520.0,4400000.0
3 BHK,2795.0,4.0,3,8407.871198568873,23500000.0
2 BHK,1125.0,2.0,2,4444.444444444444,5000000.0
2 BHK,1020.0,2.0,2,3000.0,3060000.0
2 BHK,1200.0,2.0,2,4166.666666666667,5000000.0
3 BHK,1735.0,3.0,3,7780.979827089337,13500000.0
3 BHK,2050.0,3.0,3,7073.170731707317,14500000.0
4 Bedroom,3750.0,4.0,4,20266.666666666668,76000000.0
3 BHK,1350.0,2.0,3,3555.5555555555557,4800000.0
2 BHK,1063.0,2.0,2,3010.348071495767,3200000.0
3 BHK,1904.0,3.0,3,7878.151260504202,15000000.0
4 Bedroom,4200.0,4.0,4,10000.0,42000000.0
3 BHK,2000.0,3.0,3,8750.0,17500000.0
2 BHK,1242.5,2.0,2,3500.201207243461,4349000.0
3 BHK,1425.0,2.0,3,5263.1578947368425,7500000.0
3 BHK,1500.0,2.0,3,4300.0,6450000.0
2 BHK,1060.0,2.0,2,5660.377358490566,6000000.0
3 BHK,1470.0,2.0,3,4761.9047619047615,7000000.0
6 BHK,1300.0,6.0,6,7615.384615384615,9900000.0
1 BHK,450.0,1.0,1,2444.4444444444443,1100000.0
2 BHK,1152.0,2.0,2,5598.958333333333,6450000.0
3 BHK,1350.0,2.0,3,4148.148148148148,5600000.0
3 BHK,1550.0,3.0,3,4193.548387096775,6500000.0
3 Bedroom,1500.0,3.0,3,6666.666666666667,10000000.0
5 Bedroom,600.0,3.0,5,14166.666666666666,8500000.0
1 Bedroom,400.0,1.0,1,3500.0,1400000.0
1 BHK,705.0,1.0,1,9503.54609929078,6700000.0
2 BHK,770.0,1.0,2,4675.324675324675,3600000.0
2 BHK,1242.0,2.0,2,4106.280193236715,5100000.0
3 BHK,1700.0,3.0,3,9117.64705882353,15500000.0
3 BHK,2144.0,3.0,3,6763.059701492537,14500000.0
3 BHK,1704.0,3.0,3,6455.399061032864,11000000.0
2 BHK,1070.0,2.0,2,4859.813084112149,5200000.0
3 Bedroom,1846.0,3.0,3,16251.354279523293,30000000.0
2 BHK,1340.0,2.0,2,4156.7164179104475,5570000.0
2 BHK,1025.0,2.0,2,4487.804878048781,4600000.0
2 BHK,1277.5,2.0,2,4446.183953033268,5680000.0
2 BHK,1200.0,2.0,2,4333.333333333333,5200000.0
4 Bedroom,2250.0,4.0,4,4888.888888888889,11000000.0
3 BHK,1550.0,2.0,3,5161.290322580645,8000000.0
4 Bedroom,1200.0,5.0,4,27083.333333333332,32500000.0
7 Bedroom,1800.0,7.0,7,13888.888888888889,25000000.0
2 BHK,1200.0,2.0,2,5000.0,6000000.0
2 BHK,1327.0,2.0,2,7385.079125847777,9800000.0
2 BHK,1186.0,2.0,2,4890.387858347386,5800000.0
3 Bedroom,1783.0,3.0,3,6449.8037016264725,11500000.0
3 BHK,1400.0,3.0,3,4000.0,5600000.0
2 BHK,980.0,2.0,2,4897.959183673469,4800000.0
2 BHK,1285.0,2.0,2,6381.322957198444,8200000.0
3 BHK,912.0,2.0,3,7675.438596491228,7000000.0
2 BHK,1225.0,2.0,2,3885.714285714286,4760000.0
2 BHK,1075.0,2.0,2,4930.232558139535,5300000.0
3 BHK,1260.0,2.0,3,4285.714285714285,5400000.0
3 BHK,1282.0,2.0,3,3798.751950078003,4870000.0
3 BHK,1909.0,3.0,3,4609.743321110529,8800000.0
2 BHK,1359.0,2.0,2,6401.766004415011,8700000.0
2 BHK,1207.0,2.0,2,3603.976801988401,4350000.0
4 Bedroom,1736.0,6.0,4,10944.700460829494,19000000.0
4 BHK,2850.0,4.0,4,15017.543859649122,42800000.0
3 BHK,1595.0,3.0,3,4075.2351097178685,6500000.0
3 BHK,1798.0,3.0,3,4949.944382647386,8900000.0
3 BHK,1475.0,3.0,3,5307.796610169492,7829000.000000001
3 BHK,1580.0,3.0,3,6329.113924050633,10000000.0
2 BHK,1295.0,2.0,2,5019.305019305019,6500000.0
6 Bedroom,3600.0,6.0,6,3916.6666666666665,14100000.0
1 BHK,589.0,1.0,1,4584.040747028863,2700000.0
3 BHK,1415.0,3.0,3,5512.367491166077,7800000.0
3 BHK,1787.0,3.0,3,5500.279798545048,9829000.0
3 BHK,1787.0,3.0,3,6994.963626189144,12500000.0
3 BHK,1475.0,2.0,3,6101.6949152542375,9000000.0
4 BHK,2000.0,4.0,4,3775.0,7550000.0
2 BHK,984.0,2.0,2,4500.0,4428000.0
3 BHK,2405.0,4.0,3,10810.81081081081,26000000.0
2 BHK,1080.0,2.0,2,6666.666666666667,7200000.0
2 Bedroom,1500.0,2.0,2,7666.666666666667,11500000.0
3 BHK,1900.0,3.0,3,6263.1578947368425,11900000.0
2 BHK,805.0,2.0,2,2750.3105590062114,2214000.0
2 BHK,1153.0,2.0,2,4891.587163920208,5640000.0
2 BHK,1148.0,2.0,2,5226.480836236934,6000000.0
2 BHK,1110.0,2.0,2,4954.954954954955,5500000.0
2 BHK,1100.0,2.0,2,3818.181818181818,4200000.0
2 BHK,1290.0,2.0,2,8527.131782945737,11000000.0
3 BHK,1500.0,2.0,3,4333.333333333333,6500000.0
2 BHK,1080.0,2.0,2,3611.1111111111113,3900000.0
3 BHK,1933.0,3.0,3,6673.564407656492,12900000.0
5 Bedroom,3500.0,5.0,5,4285.714285714285,15000000.0
2 BHK,1060.0,2.0,2,5660.377358490566,6000000.0
1 BHK,645.0,1.0,1,2550.3875968992247,1645000.0
8 Bedroom,2600.0,8.0,8,6923.076923076923,18000000.0
1 BHK,645.0,1.0,1,2550.3875968992247,1645000.0
3 BHK,1644.0,3.0,3,5109.489051094891,8400000.0
2 BHK,1285.0,2.0,2,5642.023346303502,7250000.0
3 Bedroom,1200.0,3.0,3,7500.0,9000000.0
2 BHK,910.0,2.0,2,4395.604395604396,4000000.0
3 BHK,1577.0,3.0,3,4438.807863031072,7000000.0
3 Bedroom,4050.0,3.0,3,6913.580246913581,28000000.0
3 BHK,2420.0,3.0,3,7644.628099173554,18500000.0
2 BHK,800.0,1.0,2,2500.0,2000000.0
2 BHK,1060.0,2.0,2,5188.679245283019,5500000.0
2 BHK,1270.0,2.0,2,7322.834645669292,9300000.0
2 BHK,900.0,2.0,2,2500.0,2250000.0
2 Bedroom,1280.0,2.0,2,5390.625,6900000.0
4 Bedroom,1200.0,2.0,4,7916.666666666667,9500000.0
2 BHK,1025.0,2.0,2,3512.1951219512193,3600000.0
2 BHK,1108.0,2.0,2,5685.9205776173285,6300000.0
5 Bedroom,1200.0,5.0,5,14166.666666666666,17000000.0
3 BHK,3045.0,3.0,3,5582.922824302134,17000000.0
4 Bedroom,2900.0,3.0,4,10344.827586206897,30000000.0
3 BHK,1500.0,3.0,3,5033.333333333333,7550000.0
2 BHK,1295.0,2.0,2,3389.96138996139,4390000.0
2 BHK,1162.0,2.0,2,5154.9053356282275,5990000.0
2 BHK,1035.0,2.0,2,4753.623188405797,4920000.0
4 Bedroom,1600.0,4.0,4,3300.0,5280000.0
3 BHK,1464.0,3.0,3,3142.0765027322404,4600000.0
3 BHK,1866.0,2.0,3,3300.10718113612,6158000.0
2 BHK,700.0,1.0,2,3714.285714285714,2600000.0
3 BHK,1804.0,3.0,3,6651.884700665189,12000000.0
2 BHK,913.0,2.0,2,3504.9288061336256,3200000.0
3 BHK,1868.0,3.0,3,7012.847965738758,13100000.0
2 BHK,883.0,2.0,2,5096.262740656852,4500000.0
2 Bedroom,900.0,2.0,2,12222.222222222223,11000000.0
3 BHK,1664.0,2.0,3,4444.110576923077,7395000.0
3 BHK,2026.0,3.0,3,6515.301085883514,13200000.0
2 BHK,1210.0,2.0,2,6685.950413223141,8090000.000000001
4 Bedroom,4111.0,4.0,4,6081.24543906592,25000000.0
3 BHK,1762.0,3.0,3,5190.124858115778,9145000.0
3 BHK,1252.0,3.0,3,4392.97124600639,5500000.0
2 BHK,861.0,2.0,2,4006.968641114983,3450000.0
3 BHK,1420.0,2.0,3,7042.2535211267605,10000000.0
6 Bedroom,1450.0,6.0,6,17241.379310344826,25000000.0
3 BHK,1490.0,3.0,3,5288.5906040268455,7880000.0
3 BHK,1075.0,2.0,3,4279.069767441861,4600000.0
3 BHK,1425.0,2.0,3,6596.491228070176,9400000.0
2 BHK,1200.0,2.0,2,3333.3333333333335,4000000.0
3 BHK,1280.0,2.0,3,4375.0,5600000.0
2 BHK,1084.0,2.0,2,4612.546125461255,5000000.0
2 BHK,1015.0,2.0,2,2549.753694581281,2588000.0
2 BHK,1017.0,2.0,2,5039.331366764995,5125000.0
2 BHK,1027.0,2.0,2,4284.323271665044,4400000.0
2 BHK,1069.0,2.0,2,4209.541627689429,4500000.0
2 BHK,1349.0,2.0,2,7279.466271312083,9820000.0
2 BHK,1005.0,2.0,2,4975.124378109453,5000000.0
2 BHK,1417.0,2.0,2,5292.87226534933,7500000.0
3 Bedroom,1475.0,3.0,3,6644.067796610169,9800000.0
2 BHK,950.0,2.0,2,4947.368421052632,4700000.0
4 BHK,2000.0,4.0,4,6000.0,12000000.0
3 Bedroom,880.0,3.0,3,15909.09090909091,14000000.0
4 BHK,1863.0,3.0,4,5582.393988191089,10400000.0
2 BHK,1010.0,2.0,2,2920.792079207921,2950000.0
3 BHK,1425.0,2.0,3,4912.2807017543855,7000000.0
3 BHK,1450.0,3.0,3,6896.551724137931,10000000.0
3 BHK,1847.0,3.0,3,5684.89442338928,10500000.0
2 BHK,1100.0,2.0,2,4090.909090909091,4500000.0
1 BHK,525.0,1.0,1,4952.380952380952,2600000.0
3 BHK,1665.0,3.0,3,5705.705705705705,9500000.0
4 BHK,1664.0,4.0,4,3906.25,6500000.0
3 BHK,1850.0,3.0,3,8108.108108108108,15000000.0
2 BHK,1438.0,2.0,2,6954.102920723227,10000000.0
3 BHK,1560.0,3.0,3,7371.794871794872,11500000.0
2 BHK,1350.0,2.0,2,4114.814814814815,5555000.0
3 BHK,1550.0,3.0,3,4322.580645161291,6700000.0
2 BHK,1140.0,2.0,2,4078.9473684210525,4650000.0
5 Bedroom,1200.0,5.0,5,15000.0,18000000.0
2 BHK,850.0,2.0,2,3176.470588235294,2700000.0
2 BHK,1280.0,2.0,2,5859.375,7500000.0
2 BHK,1170.0,2.0,2,4444.444444444444,5200000.0
2 BHK,1113.0,2.0,2,4582.210242587601,5100000.0
2 BHK,1385.0,2.0,2,5999.27797833935,8309000.0
2 BHK,1128.0,2.0,2,5762.41134751773,6500000.0
2 Bedroom,1200.0,2.0,2,10666.666666666666,12800000.0
4 Bedroom,1200.0,4.0,4,13750.0,16500000.0
3 BHK,2390.0,3.0,3,17364.016736401674,41500000.0
4 Bedroom,2400.0,4.0,4,16666.666666666668,40000000.0
3 BHK,1464.0,3.0,3,3825.136612021858,5600000.0
2 BHK,1200.0,2.0,2,4583.333333333333,5500000.0
2 BHK,1200.0,2.0,2,4333.333333333333,5200000.0
3 BHK,1150.0,2.0,3,4782.608695652174,5500000.0
3 BHK,1645.0,3.0,3,5775.075987841945,9500000.0
2 BHK,1000.0,2.0,2,6700.0,6700000.0
4 Bedroom,2650.0,4.0,4,7471.698113207547,19800000.0
2 BHK,1192.0,2.0,2,6208.053691275168,7400000.0
3 BHK,2135.0,3.0,3,10070.257611241217,21500000.0
2 BHK,1173.0,2.0,2,4944.58653026428,5800000.0
2 BHK,1020.0,2.0,2,4411.764705882353,4500000.0
4 BHK,3122.0,6.0,4,7367.072389493914,23000000.0
3 BHK,1600.0,3.0,3,4000.0,6400000.0
2 Bedroom,1200.0,2.0,2,6583.333333333333,7900000.0
2 BHK,1230.0,2.0,2,3902.439024390244,4800000.0
2 BHK,1250.0,2.0,2,3200.0,4000000.0
2 BHK,1325.0,2.0,2,5735.8490566037735,7600000.0
3 BHK,1850.0,3.0,3,8108.108108108108,15000000.0
2 BHK,1200.0,2.0,2,5416.666666666667,6500000.0
3 Bedroom,1350.0,2.0,3,10370.37037037037,14000000.0
3 BHK,1260.0,3.0,3,3917.4603174603176,4936000.0
3 BHK,1800.0,3.0,3,8333.333333333334,15000000.0
3 Bedroom,11.0,3.0,3,672727.2727272727,7400000.0
2 BHK,1100.0,2.0,2,3931.818181818182,4325000.0
2 BHK,1508.0,2.0,2,5106.100795755968,7700000.0
3 BHK,1592.0,3.0,3,4711.05527638191,7500000.0
2 BHK,1388.0,2.0,2,4106.628242074928,5700000.0
1 BHK,630.0,1.0,1,4500.0,2835000.0
3 Bedroom,2000.0,3.0,3,18250.0,36500000.0
3 BHK,1762.0,3.0,3,7094.211123723042,12500000.0
2 BHK,950.0,2.0,2,5263.1578947368425,5000000.0
4 BHK,3252.0,5.0,4,10301.353013530135,33500000.0
2 BHK,1116.0,2.0,2,4480.286738351255,5000000.0
2 BHK,1308.0,2.0,2,6807.339449541284,8904000.0
3 BHK,1200.0,3.0,3,7500.0,9000000.0
4 Bedroom,1500.0,4.0,4,15333.333333333334,23000000.0
1 BHK,500.0,1.0,1,3700.0,1850000.0
2 BHK,1075.0,2.0,2,4837.209302325581,5200000.0
1 BHK,530.0,1.0,1,2200.0,1166000.0
2 BHK,1205.0,2.0,2,5477.178423236514,6600000.0
2 BHK,1075.0,2.0,2,5581.395348837209,6000000.0
2 BHK,930.0,2.0,2,4193.548387096775,3900000.0
2 BHK,1380.0,2.0,2,4347.826086956522,6000000.0
4 BHK,2483.0,5.0,4,8538.058799838904,21200000.0
2 BHK,1166.0,2.0,2,4716.981132075472,5500000.0
2 BHK,1050.0,2.0,2,6190.476190476191,6500000.0
3 BHK,2023.71,3.0,3,13588.903548433324,27500000.0
2 BHK,1200.0,2.0,2,3900.0,4680000.0
3 BHK,1600.0,2.0,3,6750.0,10800000.0
3 BHK,1935.0,3.0,3,5684.754521963824,11000000.0
1 BHK,451.0,1.0,1,6629.711751662971,2990000.0
3 BHK,1800.0,3.0,3,5277.777777777777,9500000.0
3 BHK,1400.0,3.0,3,5500.0,7700000.0
3 BHK,1801.0,3.0,3,6385.341476957246,11500000.0
2 BHK,1451.0,2.0,2,6202.618883528601,9000000.0
2 Bedroom,1200.0,1.0,2,3000.0,3600000.0
2 BHK,1160.0,2.0,2,3793.103448275862,4400000.0
2 BHK,1000.0,2.0,2,2500.0,2500000.0
2 BHK,950.0,2.0,2,4210.526315789473,4000000.0
3 BHK,1629.0,3.0,3,4849.600982197668,7900000.0
3 BHK,1580.0,2.0,3,8481.012658227848,13400000.0
3 BHK,1826.0,3.0,3,6626.506024096386,12100000.0
2 BHK,1245.0,2.0,2,7550.2008032128515,9400000.0
2 BHK,1145.0,2.0,2,3999.126637554585,4579000.0
2 BHK,825.0,2.0,2,4000.0,3300000.0
3 BHK,1693.0,3.0,3,6379.208505611341,10800000.0
2 BHK,1113.27,2.0,2,4760.74986301616,5300000.0
2 BHK,1460.0,2.0,2,3972.6027397260273,5800000.0
2 BHK,1050.0,2.0,2,3047.6190476190477,3200000.0
2 BHK,1260.0,2.0,2,4365.079365079365,5500000.0
6 BHK,700.0,3.0,6,17142.85714285714,12000000.0
2 BHK,1656.0,2.0,2,7246.376811594203,12000000.0
3 BHK,1208.0,3.0,3,3725.1655629139073,4500000.0
3 BHK,1910.0,3.0,3,8429.319371727748,16100000.0
4 BHK,3252.0,4.0,4,7072.570725707257,23000000.0
2 Bedroom,1200.0,2.0,2,5416.666666666667,6500000.0
4 BHK,1200.0,4.0,4,14583.333333333334,17500000.0
2 BHK,1175.0,2.0,2,6978.723404255319,8200000.0
2 Bedroom,1000.0,2.0,2,16500.0,16500000.0
4 Bedroom,1200.0,2.0,4,10416.666666666666,12500000.0
3 BHK,2390.0,3.0,3,17154.81171548117,41000000.0
7 BHK,12000.0,6.0,7,18333.333333333332,220000000.0
2 Bedroom,550.0,1.0,2,11272.727272727272,6200000.0
2 BHK,1185.0,2.0,2,3206.7510548523205,3800000.0
2 BHK,750.0,2.0,2,5066.666666666667,3800000.0
6 Bedroom,1200.0,7.0,6,20833.333333333332,25000000.0
3 BHK,1550.0,3.0,3,4161.290322580645,6450000.0
3 BHK,1760.0,3.0,3,5000.0,8800000.0
2 BHK,1125.0,2.0,2,5511.111111111111,6200000.0
3 Bedroom,1350.0,3.0,3,11111.111111111111,15000000.0
2 Bedroom,1000.0,2.0,2,5500.0,5500000.0
2 BHK,1090.0,2.0,2,2888.0733944954127,3148000.0
2 Bedroom,1200.0,2.0,2,5000.0,6000000.0
3 BHK,1991.0,4.0,3,5173.279758915118,10300000.0
2 BHK,1060.0,2.0,2,2500.0,2650000.0
2 BHK,1105.0,2.0,2,6787.330316742082,7500000.0
2 BHK,985.0,2.0,2,6802.030456852792,6700000.0
6 Bedroom,1533.0,5.0,6,5544.683626875408,8500000.0
3 BHK,1590.0,3.0,3,4968.553459119496,7900000.0
2 BHK,1120.0,2.0,2,4910.714285714285,5500000.0
2 BHK,1069.0,2.0,2,5144.9953227315245,5500000.0
3 BHK,1933.0,3.0,3,7242.628039317124,14000000.0
2 BHK,1194.0,2.0,2,5778.894472361809,6900000.0
2 BHK,1150.0,2.0,2,6000.0,6900000.0
2 BHK,1240.0,2.0,2,3800.0,4712000.0
2 BHK,1419.0,2.0,2,3389.7110641296686,4810000.0
8 Bedroom,1200.0,8.0,8,20833.333333333332,25000000.0
3 BHK,2150.0,4.0,3,11162.790697674418,24000000.0
3 BHK,1450.0,3.0,3,3793.103448275862,5500000.0
3 BHK,1630.0,3.0,3,4189.57055214724,6829000.000000001
2 BHK,708.0,1.0,2,5649.717514124294,4000000.0
3 Bedroom,1000.0,4.0,3,11000.0,11000000.0
4 Bedroom,11890.0,4.0,4,5887.300252312868,70000000.0
2 BHK,1250.0,2.0,2,6080.0,7600000.0
3 BHK,1400.0,2.0,3,6785.714285714285,9500000.0
3 BHK,1670.0,2.0,3,3413.1736526946106,5700000.0
3 BHK,1750.0,3.0,3,5714.285714285715,10000000.0
2 BHK,1404.0,2.0,2,5056.980056980057,7100000.0
3 BHK,1715.0,2.0,3,5539.35860058309,9500000.0
1 BHK,630.0,1.0,1,5500.0,3465000.0
3 BHK,1752.12,3.0,3,7704.951715635916,13500000.0
3 BHK,1650.0,3.0,3,4727.272727272727,7800000.0
2 BHK,1295.0,2.0,2,4283.397683397683,5547000.0
3 Bedroom,1800.0,3.0,3,14000.0,25200000.0
2 BHK,1346.0,2.0,2,5500.0,7403000.0
4 Bedroom,1200.0,4.0,4,16666.666666666668,20000000.0
2 BHK,1150.0,2.0,2,4782.608695652174,5500000.0
4 Bedroom,3309.0,4.0,4,9821.698398307646,32500000.0
